# x	Norm
0.388	0.000159109
0.389	0.000162746
0.39	0.000166462
0.391	0.000170257
0.392	0.000174132
0.393	0.00017809
0.394	0.000182132
0.395	0.00018626
0.396	0.000190475
0.397	0.000194779
0.398	0.000199174
0.399	0.000203661
0.4	0.000208242
0.401	0.00021292
0.402	0.000217696
0.403	0.000222571
0.404	0.000227548
0.405	0.000232629
0.406	0.000237816
0.407	0.00024311
0.408	0.000248514
0.409	0.00025403
0.41	0.00025966
0.411	0.000265406
0.412	0.00027127
0.413	0.000277255
0.414	0.000283363
0.415	0.000289595
0.416	0.000295956
0.417	0.000302446
0.418	0.000309068
0.419	0.000315825
0.42	0.000322719
0.421	0.000329753
0.422	0.000336929
0.423	0.000344251
0.424	0.000351719
0.425	0.000359339
0.426	0.000367111
0.427	0.000375039
0.428	0.000383126
0.429	0.000391375
0.43	0.000399788
0.431	0.000408369
0.432	0.000417121
0.433	0.000426046
0.434	0.000435148
0.435	0.00044443
0.436	0.000453896
0.437	0.000463547
0.438	0.000473389
0.439	0.000483424
0.44	0.000493656
0.441	0.000504088
0.442	0.000514723
0.443	0.000525566
0.444	0.00053662
0.445	0.000547889
0.446	0.000559376
0.447	0.000571086
0.448	0.000583021
0.449	0.000595187
0.45	0.000607587
0.451	0.000620226
0.452	0.000633106
0.453	0.000646234
0.454	0.000659612
0.455	0.000673245
0.456	0.000687138
0.457	0.000701295
0.458	0.00071572
0.459	0.000730418
0.46	0.000745395
0.461	0.000760653
0.462	0.000776199
0.463	0.000792037
0.464	0.000808172
0.465	0.000824609
0.466	0.000841353
0.467	0.000858409
0.468	0.000875783
0.469	0.00089348
0.47	0.000911505
0.471	0.000929863
0.472	0.000948561
0.473	0.000967603
0.474	0.000986996
0.475	0.00100674
0.476	0.00102686
0.477	0.00104733
0.478	0.00106819
0.479	0.00108942
0.48	0.00111104
0.481	0.00113305
0.482	0.00115546
0.483	0.00117828
0.484	0.00120151
0.485	0.00122515
0.486	0.00124922
0.487	0.00127373
0.488	0.00129867
0.489	0.00132406
0.49	0.0013499
0.491	0.0013762
0.492	0.00140297
0.493	0.00143021
0.494	0.00145794
0.495	0.00148615
0.496	0.00151486
0.497	0.00154408
0.498	0.00157381
0.499	0.00160406
0.5	0.00163484
0.501	0.00166616
0.502	0.00169802
0.503	0.00173044
0.504	0.00176342
0.505	0.00179697
0.506	0.0018311
0.507	0.00186581
0.508	0.00190113
0.509	0.00193705
0.51	0.00197359
0.511	0.00201075
0.512	0.00204854
0.513	0.00208698
0.514	0.00212608
0.515	0.00216583
0.516	0.00220626
0.517	0.00224737
0.518	0.00228918
0.519	0.00233168
0.52	0.0023749
0.521	0.00241885
0.522	0.00246353
0.523	0.00250895
0.524	0.00255513
0.525	0.00260208
0.526	0.0026498
0.527	0.00269832
0.528	0.00274763
0.529	0.00279776
0.53	0.00284871
0.531	0.00290049
0.532	0.00295313
0.533	0.00300662
0.534	0.00306098
0.535	0.00311623
0.536	0.00317237
0.537	0.00322942
0.538	0.0032874
0.539	0.0033463
0.54	0.00340616
0.541	0.00346697
0.542	0.00352876
0.543	0.00359154
0.544	0.00365531
0.545	0.0037201
0.546	0.00378592
0.547	0.00385278
0.548	0.0039207
0.549	0.00398969
0.55	0.00405976
0.551	0.00413093
0.552	0.00420322
0.553	0.00427664
0.554	0.0043512
0.555	0.00442692
0.556	0.00450381
0.557	0.0045819
0.558	0.00466119
0.559	0.0047417
0.56	0.00482345
0.561	0.00490646
0.562	0.00499073
0.563	0.0050763
0.564	0.00516316
0.565	0.00525135
0.566	0.00534088
0.567	0.00543176
0.568	0.00552401
0.569	0.00561765
0.57	0.00571269
0.571	0.00580917
0.572	0.00590708
0.573	0.00600646
0.574	0.00610731
0.575	0.00620967
0.576	0.00631353
0.577	0.00641894
0.578	0.0065259
0.579	0.00663443
0.58	0.00674455
0.581	0.00685629
0.582	0.00696966
0.583	0.00708468
0.584	0.00720137
0.585	0.00731975
0.586	0.00743984
0.587	0.00756167
0.588	0.00768525
0.589	0.00781061
0.59	0.00793776
0.591	0.00806673
0.592	0.00819754
0.593	0.0083302
0.594	0.00846475
0.595	0.0086012
0.596	0.00873958
0.597	0.0088799
0.598	0.0090222
0.599	0.00916649
0.6	0.00931279
0.601	0.00946113
0.602	0.00961154
0.603	0.00976403
0.604	0.00991863
0.605	0.0100754
0.606	0.0102343
0.607	0.0103953
0.608	0.0105586
0.609	0.0107241
0.61	0.0108919
0.611	0.0110619
0.612	0.0112343
0.613	0.0114089
0.614	0.011586
0.615	0.0117654
0.616	0.0119472
0.617	0.0121314
0.618	0.0123181
0.619	0.0125073
0.62	0.012699
0.621	0.0128933
0.622	0.0130901
0.623	0.0132895
0.624	0.0134915
0.625	0.0136961
0.626	0.0139034
0.627	0.0141135
0.628	0.0143262
0.629	0.0145417
0.63	0.01476
0.631	0.0149812
0.632	0.0152051
0.633	0.0154319
0.634	0.0156617
0.635	0.0158943
0.636	0.0161299
0.637	0.0163685
0.638	0.0166101
0.639	0.0168548
0.64	0.0171025
0.641	0.0173533
0.642	0.0176073
0.643	0.0178644
0.644	0.0181248
0.645	0.0183883
0.646	0.0186551
0.647	0.0189252
0.648	0.0191986
0.649	0.0194754
0.65	0.0197556
0.651	0.0200391
0.652	0.0203262
0.653	0.0206166
0.654	0.0209106
0.655	0.0212082
0.656	0.0215093
0.657	0.021814
0.658	0.0221224
0.659	0.0224344
0.66	0.0227501
0.661	0.0230696
0.662	0.0233928
0.663	0.0237199
0.664	0.0240508
0.665	0.0243855
0.666	0.0247241
0.667	0.0250667
0.668	0.0254133
0.669	0.0257638
0.67	0.0261184
0.671	0.0264771
0.672	0.0268399
0.673	0.0272068
0.674	0.0275779
0.675	0.0279532
0.676	0.0283327
0.677	0.0287166
0.678	0.0291047
0.679	0.0294972
0.68	0.0298941
0.681	0.0302953
0.682	0.0307011
0.683	0.0311113
0.684	0.0315261
0.685	0.0319454
0.686	0.0323693
0.687	0.0327979
0.688	0.0332311
0.689	0.033669
0.69	0.0341116
0.691	0.034559
0.692	0.0350113
0.693	0.0354684
0.694	0.0359303
0.695	0.0363972
0.696	0.036869
0.697	0.0373458
0.698	0.0378277
0.699	0.0383146
0.7	0.0388066
0.701	0.0393037
0.702	0.0398061
0.703	0.0403136
0.704	0.0408263
0.705	0.0413444
0.706	0.0418677
0.707	0.0423964
0.708	0.0429305
0.709	0.04347
0.71	0.044015
0.711	0.0445655
0.712	0.0451215
0.713	0.045683
0.714	0.0462502
0.715	0.046823
0.716	0.0474015
0.717	0.0479857
0.718	0.0485757
0.719	0.0491714
0.72	0.049773
0.721	0.0503804
0.722	0.0509937
0.723	0.0516129
0.724	0.0522381
0.725	0.0528693
0.726	0.0535066
0.727	0.0541499
0.728	0.0547993
0.729	0.0554548
0.73	0.0561166
0.731	0.0567845
0.732	0.0574587
0.733	0.0581392
0.734	0.0588259
0.735	0.0595191
0.736	0.0602186
0.737	0.0609245
0.738	0.0616369
0.739	0.0623558
0.74	0.0630812
0.741	0.0638132
0.742	0.0645517
0.743	0.0652969
0.744	0.0660487
0.745	0.0668072
0.746	0.0675724
0.747	0.0683444
0.748	0.0691232
0.749	0.0699088
0.75	0.0707013
0.751	0.0715006
0.752	0.0723068
0.753	0.07312
0.754	0.0739402
0.755	0.0747674
0.756	0.0756017
0.757	0.076443
0.758	0.0772914
0.759	0.0781469
0.76	0.0790096
