# x	Phi
10.6	0.0571821
10.8	0.0573265
11	0.0574712
11.2	0.0576163
11.4	0.0577618
11.6	0.0579076
11.8	0.0580537
12	0.0582002
12.2	0.058347
12.4	0.0584942
12.6	0.0586417
12.8	0.0587896
13	0.0589378
13.2	0.0590864
13.4	0.0592353
13.6	0.0593846
13.8	0.0595342
14	0.0596842
14.2	0.0598346
14.4	0.0599853
14.6	0.0601363
14.8	0.0602877
15	0.0604395
15.2	0.0605916
15.4	0.060744
15.6	0.0608969
15.8	0.0610501
16	0.0612036
16.2	0.0613575
16.4	0.0615118
16.6	0.0616665
16.8	0.0618215
17	0.0619768
17.2	0.0621325
17.4	0.0622886
17.6	0.0624451
17.8	0.0626019
18	0.0627591
18.2	0.0629167
18.4	0.0630746
18.6	0.0632329
18.8	0.0633916
19	0.0635506
19.2	0.0637101
19.4	0.0638698
19.6	0.06403
19.8	0.0641905
20	0.0643515
20.2	0.0645127
20.4	0.0646744
20.6	0.0648364
20.8	0.0649989
21	0.0651616
21.2	0.0653248
21.4	0.0654884
21.6	0.0656523
21.8	0.0658166
22	0.0659813
22.2	0.0661464
22.4	0.0663119
22.6	0.0664777
22.8	0.066644
23	0.0668106
23.2	0.0669776
23.4	0.067145
23.6	0.0673128
23.8	0.0674809
24	0.0676495
24.2	0.0678185
24.4	0.0679878
24.6	0.0681575
24.8	0.0683277
25	0.0684982
25.2	0.0686691
25.4	0.0688404
25.6	0.0690121
25.8	0.0691842
26	0.0693567
26.2	0.0695296
26.4	0.0697029
26.6	0.0698766
26.8	0.0700507
27	0.0702252
27.2	0.0704001
27.4	0.0705754
27.6	0.0707511
27.8	0.0709272
28	0.0711037
28.2	0.0712807
28.4	0.071458
28.6	0.0716357
28.8	0.0718139
29	0.0719924
29.2	0.0721714
29.4	0.0723507
29.6	0.0725305
29.8	0.0727107
30	0.0728913
30.2	0.0730723
30.4	0.0732538
30.6	0.0734356
30.8	0.0736179
31	0.0738006
31.2	0.0739837
31.4	0.0741672
31.6	0.0743511
31.8	0.0745355
32	0.0747202
32.2	0.0749054
32.4	0.075091
32.6	0.0752771
32.8	0.0754635
33	0.0756504
33.2	0.0758377
33.4	0.0760255
33.6	0.0762136
33.8	0.0764022
34	0.0765912
34.2	0.0767807
34.4	0.0769705
34.6	0.0771609
34.8	0.0773516
35	0.0775428
35.2	0.0777344
35.4	0.0779264
35.6	0.0781189
35.8	0.0783118
36	0.0785051
36.2	0.0786989
36.4	0.0788931
36.6	0.0790877
36.8	0.0792828
37	0.0794784
37.2	0.0796743
37.4	0.0798707
37.6	0.0800676
37.8	0.0802649
38	0.0804626
38.2	0.0806608
38.4	0.0808594
38.6	0.0810585
38.8	0.081258
39	0.081458
39.2	0.0816584
39.4	0.0818593
39.6	0.0820606
39.8	0.0822624
40	0.0824646
40.2	0.0826673
40.4	0.0828704
40.6	0.083074
40.8	0.083278
41	0.0834825
41.2	0.0836875
41.4	0.0838929
41.6	0.0840987
41.8	0.084305
42	0.0845118
42.2	0.0847191
42.4	0.0849268
42.6	0.0851349
42.8	0.0853435
43	0.0855526
43.2	0.0857622
43.4	0.0859722
43.6	0.0861827
43.8	0.0863936
44	0.0866051
44.2	0.0868169
44.4	0.0870293
44.6	0.0872421
44.8	0.0874554
45	0.0876692
45.2	0.0878834
45.4	0.0880981
45.6	0.0883133
45.8	0.088529
46	0.0887451
46.2	0.0889617
46.4	0.0891788
46.6	0.0893964
46.8	0.0896144
47	0.0898329
47.2	0.0900519
47.4	0.0902714
47.6	0.0904914
47.8	0.0907118
48	0.0909328
48.2	0.0911542
48.4	0.0913761
48.6	0.0915985
48.8	0.0918214
49	0.0920447
49.2	0.0922686
49.4	0.0924929
49.6	0.0927177
49.8	0.0929431
50	0.0931689
50.2	0.0933952
50.4	0.093622
50.6	0.0938493
50.8	0.094077
51	0.0943053
51.2	0.0945341
51.4	0.0947634
51.6	0.0949931
51.8	0.0952234
52	0.0954542
52.2	0.0956854
52.4	0.0959172
52.6	0.0961495
52.8	0.0963822
53	0.0966155
53.2	0.0968493
53.4	0.0970836
53.6	0.0973184
53.8	0.0975537
54	0.0977895
54.2	0.0980258
54.4	0.0982626
54.6	0.0984999
54.8	0.0987378
55	0.0989761
55.2	0.099215
55.4	0.0994544
55.6	0.0996943
55.8	0.0999347
56	0.100176
56.2	0.100417
56.4	0.100659
56.6	0.100901
56.8	0.101144
57	0.101388
57.2	0.101632
57.4	0.101877
57.6	0.102122
57.8	0.102367
58	0.102613
58.2	0.10286
58.4	0.103107
58.6	0.103355
58.8	0.103603
59	0.103852
59.2	0.104101
59.4	0.104351
59.6	0.104601
59.8	0.104852
60	0.105103
60.2	0.105355
60.4	0.105608
60.6	0.105861
60.8	0.106114
61	0.106368
61.2	0.106623
61.4	0.106878
61.6	0.107134
61.8	0.10739
62	0.107647
62.2	0.107904
62.4	0.108162
62.6	0.10842
62.8	0.108679
63	0.108939
63.2	0.109199
63.4	0.109459
63.6	0.10972
63.8	0.109982
64	0.110244
64.2	0.110507
64.4	0.11077
64.6	0.111034
64.8	0.111298
65	0.111563
65.2	0.111829
65.4	0.112095
65.6	0.112361
65.8	0.112628
66	0.112896
66.2	0.113164
66.4	0.113433
66.6	0.113702
66.8	0.113972
67	0.114243
67.2	0.114514
67.4	0.114785
67.6	0.115057
67.8	0.11533
68	0.115603
68.2	0.115877
68.4	0.116152
68.6	0.116427
68.8	0.116702
69	0.116978
69.2	0.117255
69.4	0.117532
69.6	0.11781
69.8	0.118088
70	0.118367
70.2	0.118647
70.4	0.118927
70.6	0.119207
70.8	0.119489
71	0.11977
71.2	0.120053
71.4	0.120336
71.6	0.120619
71.8	0.120903
72	0.121188
72.2	0.121473
72.4	0.121759
72.6	0.122045
72.8	0.122332
73	0.12262
73.2	0.122908
73.4	0.123197
73.6	0.123486
