# Longevidade	Quantidade
0.367775	0.308
0.368717	0.308667
0.368789	0.309333
0.374222	0.31
0.374512	0.310667
0.376105	0.311333
0.37625	0.312
0.376395	0.312667
0.378134	0.313333
0.378279	0.314
0.378713	0.314667
0.37951	0.315333
0.384001	0.316
0.385523	0.316667
0.385595	0.317333
0.386899	0.318
0.388275	0.318667
0.38871	0.319333
0.389289	0.32
0.390376	0.320667
0.390666	0.321333
0.392911	0.322
0.392984	0.322667
0.394433	0.323667
0.394577	0.324667
0.397258	0.325333
0.397403	0.326
0.397765	0.326667
0.399721	0.327333
0.400083	0.328
0.401821	0.329
0.402763	0.33
0.40298	0.330667
0.404284	0.331333
0.404647	0.332
0.404936	0.333333
0.405661	0.334667
0.407109	0.335333
0.407834	0.336
0.409645	0.336667
0.410659	0.337333
0.410949	0.338
0.414861	0.338667
0.417251	0.339333
0.418482	0.34
0.419134	0.340667
0.420293	0.341333
0.420801	0.342
0.421597	0.342667
0.422901	0.343333
0.425002	0.344
0.425147	0.344667
0.425292	0.345333
0.425437	0.346
0.425654	0.346667
0.425726	0.347333
0.426378	0.348
0.426813	0.348667
0.427393	0.349333
0.429566	0.35
0.429855	0.350667
0.430145	0.351333
0.43058	0.352
0.430725	0.352667
0.431377	0.353333
0.432174	0.354
0.433405	0.354667
0.434129	0.355333
0.434492	0.356
0.435071	0.356667
0.435506	0.357333
0.43681	0.358
0.437606	0.358667
0.439055	0.359333
0.440794	0.36
0.443039	0.360667
0.443257	0.361333
0.443619	0.362
0.444126	0.362667
0.444488	0.363333
0.444923	0.364
0.445358	0.364667
0.445647	0.365333
0.446444	0.366
0.446589	0.366667
0.447531	0.367333
0.447965	0.368
0.449269	0.368667
0.449487	0.369333
0.451442	0.37
0.452022	0.370667
0.453688	0.371333
0.454195	0.372
0.454268	0.372667
0.454702	0.373333
0.455137	0.374
0.457382	0.374667
0.458541	0.375333
0.459121	0.376
0.459411	0.376667
0.460135	0.377333
0.460642	0.378
0.461077	0.378667
0.461874	0.379333
0.462236	0.38
0.46296	0.380667
0.465061	0.381333
0.46622	0.382
0.471363	0.382667
0.473826	0.383333
0.474333	0.384
0.47513	0.384667
0.475999	0.385333
0.476289	0.386
0.477448	0.386667
0.477665	0.387333
0.47781	0.388
0.478752	0.388667
0.478969	0.389333
0.479404	0.39
0.479549	0.390667
0.480998	0.391333
0.483098	0.392
0.483388	0.392667
0.483823	0.393333
0.48462	0.394
0.485561	0.394667
0.485851	0.395333
0.486068	0.396
0.487952	0.396667
0.490053	0.397333
0.493095	0.398
0.493168	0.398667
0.494906	0.399333
0.496065	0.4
0.4965	0.400667
0.497441	0.401333
0.49947	0.402
0.500267	0.402667
0.500919	0.403333
0.501063	0.404
0.50186	0.404667
0.502802	0.405333
0.502947	0.406
0.503309	0.406667
